"year","iddist","pop_landscan"
"2017","100902",10937.8
"2018","100902",11279.4
"2019","100902",10699.3
"2020","100902",8757.2
"2021","100902",8738.1
"2022","100902",9733.8
"2023","100902",9669.5
"2017","100904",6206.7
"2018","100904",6149.3
"2019","100904",6251.2
"2020","100904",4881.9
"2021","100904",4934.2
"2022","100904",4612.3
"2023","100904",4514.8
"2017","250305",14043.9
"2018","250305",16284.6
"2019","250305",16437.7
"2020","250305",12011.4
"2021","250305",12000.5
"2022","250305",11932.5
"2023","250305",12209.2
"2017","250302",6590.4
"2018","250302",7345.5
"2019","250302",7415.1
"2020","250302",8687
"2021","250302",8666.9
"2022","250302",8946.5
"2023","250302",8716.1
"2017","250304",4665.7
"2018","250304",5030
"2019","250304",5063.9
"2020","250304",7615.7
"2021","250304",7582.4
"2022","250304",7456
"2023","250304",7615.5
"2017","250301",25719.6
"2018","250301",28079.7
"2019","250301",28257.5
"2020","250301",25978.3
"2021","250301",26615.1
"2022","250301",26853.7
"2023","250301",27105
"2017","250303",4722.8
"2018","250303",5679.2
"2019","250303",5808.2
"2020","250303",8228.1
"2021","250303",8281.8
"2022","250303",8167.7
"2023","250303",8150.6
"2017","100901",6249.7
"2018","100901",5514.3
"2019","100901",5795.6
"2020","100901",7997.5
"2021","100901",8036
"2022","100901",9225.9
"2023","100901",9289.7
"2017","250106",3506.1
"2018","250106",4311.6
"2019","250106",4334.9
"2020","250106",6329.4
"2021","250106",6952.1
"2022","250106",6995.4
"2023","250106",6902.8
"2017","250102",13675
"2018","250102",14558.6
"2019","250102",14738.5
"2020","250102",23173.4
"2021","250102",23187.2
"2022","250102",23245.5
"2023","250102",23450.2
"2017","160601",26926.8
"2018","160601",22442.8
"2019","160601",20803.7
"2020","160601",21161.1
"2021","160601",19455
"2022","160601",19898.3
"2023","160601",20782.9
"2017","130104",36610.8
"2018","130104",41283.1
"2019","130104",44665.1
"2020","130104",52705.7
"2021","130104",54238.5
"2022","130104",54391.4
"2023","130104",57919.1
"2017","130207",34429.4
"2018","130207",32146.1
"2019","130207",32445.5
"2020","130207",31692.1
"2021","130207",31973.2
"2022","130207",32016
"2023","130207",28484.1
"2017","130110",3166.9
"2018","130110",3584.8
"2019","130110",3601
"2020","130110",5239.3
"2021","130110",5271.5
"2022","130110",5314.3
"2023","130110",5328.8
"2017","130204",6231.9
"2018","130204",5854.6
"2019","130204",5910.3
"2020","130204",3492
"2021","130204",3523.1
"2022","130204",3530.1
"2023","130204",2968.3
"2017","130203",9864.1
"2018","130203",9200.6
"2019","130203",9282.7
"2020","130203",8607.8
"2021","130203",8694.5
"2022","130203",8695.5
"2023","130203",9517
"2017","130205",23623.1
"2018","130205",22035.5
"2019","130205",22238.8
"2020","130205",24198.8
"2021","130205",24416.5
"2022","130205",24441.1
"2023","130205",25557.4
"2017","130613",5781.4
"2018","130613",4798.6
"2019","130613",4833.5
"2020","130613",5535
"2021","130613",5580.8
"2022","130613",5592.3
"2023","130613",5903.5
"2017","130202",9030.6
"2018","130202",9166.5
"2019","130202",9249.4
"2020","130202",12902.6
"2021","130202",13018.2
"2022","130202",13095.3
"2023","130202",13716.4
"2017","130206",8893.3
"2018","130206",8304.7
"2019","130206",8378.5
"2020","130206",10411.7
"2021","130206",10500.5
"2022","130206",10509.3
"2023","130206",10699.1
"2017","131103",4320
"2018","131103",3462.5
"2019","131103",3506.5
"2020","131103",2948.3
"2021","131103",2973.3
"2022","131103",2980.6
"2023","131103",2932.1
"2017","130201",8122.5
"2018","130201",7663.9
"2019","130201",7749.3
"2020","130201",6780.4
"2021","130201",6837.9
"2022","130201",6871.4
"2023","130201",7573.9
"2017","131101",15122.2
"2018","131101",13820.8
"2019","131101",13938.3
"2020","131101",13759.2
"2021","131101",13886.4
"2022","131101",13913
"2023","131101",13837.9
